character_id,name_kr,character_name,normalized_key,scenarios,search_google,search_ko_wiki,search_namu,status,decision,reason,source1,source2,verified_at
8,유표,liu_biao_8,liu_biao_8,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%9C%A0%ED%91%9C%20%EC%82%BC%EA%B5%AD%EC%A7%80%20liu_biao_8,https://ko.wikipedia.org/wiki/%EC%9C%A0%ED%91%9C,https://namu.wiki/w/%EC%9C%A0%ED%91%9C,PENDING,,,,,
9,유장,liu_zhang_9,liu_zhang_9,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%9C%A0%EC%9E%A5%20%EC%82%BC%EA%B5%AD%EC%A7%80%20liu_zhang_9,https://ko.wikipedia.org/wiki/%EC%9C%A0%EC%9E%A5,https://namu.wiki/w/%EC%9C%A0%EC%9E%A5,PENDING,,,,,
10,마등,ma_teng_10,ma_teng_10,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EB%A7%88%EB%93%B1%20%EC%82%BC%EA%B5%AD%EC%A7%80%20ma_teng_10,https://ko.wikipedia.org/wiki/%EB%A7%88%EB%93%B1,https://namu.wiki/w/%EB%A7%88%EB%93%B1,PENDING,,,,,
11,공손찬,gongsun_zan_11,gongsun_zan_11,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EA%B3%B5%EC%86%90%EC%B0%AC%20%EC%82%BC%EA%B5%AD%EC%A7%80%20gongsun_zan_11,https://ko.wikipedia.org/wiki/%EA%B3%B5%EC%86%90%EC%B0%AC,https://namu.wiki/w/%EA%B3%B5%EC%86%90%EC%B0%AC,PENDING,,,,,
13,장로,zhang_lu_13,zhang_lu_13,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%9E%A5%EB%A1%9C%20%EC%82%BC%EA%B5%AD%EC%A7%80%20zhang_lu_13,https://ko.wikipedia.org/wiki/%EC%9E%A5%EB%A1%9C,https://namu.wiki/w/%EC%9E%A5%EB%A1%9C,PENDING,,,,,
14,여포,lu_bu_14,lu_bu_14,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%97%AC%ED%8F%AC%20%EC%82%BC%EA%B5%AD%EC%A7%80%20lu_bu_14,https://ko.wikipedia.org/wiki/%EC%97%AC%ED%8F%AC,https://namu.wiki/w/%EC%97%AC%ED%8F%AC,PENDING,,,,,
16,한수,han_sui_16,han_sui_16,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%ED%95%9C%EC%88%98%20%EC%82%BC%EA%B5%AD%EC%A7%80%20han_sui_16,https://ko.wikipedia.org/wiki/%ED%95%9C%EC%88%98,https://namu.wiki/w/%ED%95%9C%EC%88%98,PENDING,,,,,
19,마초,ma_chao_19,ma_chao_19,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EB%A7%88%EC%B4%88%20%EC%82%BC%EA%B5%AD%EC%A7%80%20ma_chao_19,https://ko.wikipedia.org/wiki/%EB%A7%88%EC%B4%88,https://namu.wiki/w/%EB%A7%88%EC%B4%88,PENDING,,,,,
20,유종,yu_jong_20,yu_jong_20,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%9C%A0%EC%A2%85%20%EC%82%BC%EA%B5%AD%EC%A7%80%20yu_jong_20,https://ko.wikipedia.org/wiki/%EC%9C%A0%EC%A2%85,https://namu.wiki/w/%EC%9C%A0%EC%A2%85,PENDING,,,,,
21,하진,ha_jin_21,ha_jin_21,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%ED%95%98%EC%A7%84%20%EC%82%BC%EA%B5%AD%EC%A7%80%20ha_jin_21,https://ko.wikipedia.org/wiki/%ED%95%98%EC%A7%84,https://namu.wiki/w/%ED%95%98%EC%A7%84,PENDING,,,,,
